,src_port,dst_port,pct,airline,src_lat,src_lon,dst_lat,dst_lon,src_loc,dst_loc
58,KORD,KDFW,0.0547945205479452,American Airlines,41.9745194444444,-87.9065972222222,32.8972305555556,-97.0376944444444,POINT (-87.9065972222222 41.9745194444444),POINT (-97.0376944444444 32.8972305555556)
59,KORD,KLAX,0.0410958904109589,American Airlines,41.9745194444444,-87.9065972222222,33.9424944444444,-118.408047222222,POINT (-87.9065972222222 41.9745194444444),POINT (-118.408047222222 33.9424944444444)
60,KORD,KMIA,0.0410958904109589,American Airlines,41.9745194444444,-87.9065972222222,25.7953611111111,-80.2901138888889,POINT (-87.9065972222222 41.9745194444444),POINT (-80.2901138888889 25.7953611111111)
61,KORD,KSFO,0.0410958904109589,American Airlines,41.9745194444444,-87.9065972222222,37.6188055555556,-122.375416666667,POINT (-87.9065972222222 41.9745194444444),POINT (-122.375416666667 37.6188055555556)
62,KORD,KSFO,0.029411764705882353,United Airlines,41.9745194444444,-87.9065972222222,37.6188055555556,-122.375416666667,POINT (-87.9065972222222 41.9745194444444),POINT (-122.375416666667 37.6188055555556)
64,KORD,KBOS,0.0273972602739726,American Airlines,41.9745194444444,-87.9065972222222,42.3629444444444,-71.0063888888889,POINT (-87.9065972222222 41.9745194444444),POINT (-71.0063888888889 42.3629444444444)
65,KORD,KBOS,0.029411764705882353,United Airlines,41.9745194444444,-87.9065972222222,42.3629444444444,-71.0063888888889,POINT (-87.9065972222222 41.9745194444444),POINT (-71.0063888888889 42.3629444444444)
66,KORD,KDEN,0.0136986301369863,American Airlines,41.9745194444444,-87.9065972222222,39.8616666666667,-104.673166666667,POINT (-87.9065972222222 41.9745194444444),POINT (-104.673166666667 39.8616666666667)
67,KORD,KDEN,0.029411764705882353,United Airlines,41.9745194444444,-87.9065972222222,39.8616666666667,-104.673166666667,POINT (-87.9065972222222 41.9745194444444),POINT (-104.673166666667 39.8616666666667)
68,KORD,KORD,0.0136986301369863,American Airlines,41.9745194444444,-87.9065972222222,41.9745194444444,-87.9065972222222,POINT (-87.9065972222222 41.9745194444444),POINT (-87.9065972222222 41.9745194444444)
69,KORD,KPIT,0.0136986301369863,American Airlines,41.9745194444444,-87.9065972222222,40.4914166666667,-80.2326944444444,POINT (-87.9065972222222 41.9745194444444),POINT (-80.2326944444444 40.4914166666667)
71,KORD,KDWH,0.029411764705882353,United Airlines,41.9745194444444,-87.9065972222222,30.0617777777778,-95.5527861111111,POINT (-87.9065972222222 41.9745194444444),POINT (-95.5527861111111 30.0617777777778)
72,KORD,KDCA,0.0136986301369863,American Airlines,41.9745194444444,-87.9065972222222,38.8514444444444,-77.0377222222222,POINT (-87.9065972222222 41.9745194444444),POINT (-77.0377222222222 38.8514444444444)
73,KORD,KPHX,0.0136986301369863,American Airlines,41.9745194444444,-87.9065972222222,33.4342777777778,-112.011583333333,POINT (-87.9065972222222 41.9745194444444),POINT (-112.011583333333 33.4342777777778)
74,KORD,KPHX,0.058823529411764705,United Airlines,41.9745194444444,-87.9065972222222,33.4342777777778,-112.011583333333,POINT (-87.9065972222222 41.9745194444444),POINT (-112.011583333333 33.4342777777778)
75,KORD,KLAS,0.0136986301369863,American Airlines,41.9745194444444,-87.9065972222222,36.0800416666667,-115.152233333333,POINT (-87.9065972222222 41.9745194444444),POINT (-115.152233333333 36.0800416666667)
76,KORD,KLAS,0.029411764705882353,United Airlines,41.9745194444444,-87.9065972222222,36.0800416666667,-115.152233333333,POINT (-87.9065972222222 41.9745194444444),POINT (-115.152233333333 36.0800416666667)
